;;10;10/12
;;12;12/14
;;100;100/110
;;10B;100B
;;10C;100C
;;10D;100D
;;10E;100E
;;10F;100F
;;15B;105B
;;15C;105C
;;15D;105D
;;15E;105E
;;15F;105F
;;110;110/116
;;120;120/130
;;122;122/128
;;134;134/140
35775;;D1;135x200,80x80
143;;D1;135x200,80x80
141;;D1;135x200,80x80
139;;D1;135x200,80x80
206;;D1;135x200,80x80
205;;D1;135x200,80x80
203;;D1;135x200,80x80
21226;;D1;135x200,80x80
15095;;D1;135x200,80x80
15184;;D1;135x200,80x80
15291;;D1;135x200,80x80
11099;;D1;135x200,80x80
11152;;D1;135x200,80x80
11456;;D1;135x200,80x80
13229;;D1;135x200,80x80
13110;;D1;135x200,80x80
11276;;D1;135x200,80x80
11728;;D1;135x200,80x80
11605;;D1;135x200,80x80
12695;;D1;135x200,80x80
12827;;D1;135x200,80x80
10955;;D1;135x200,80x80
37886;;D1;135x200,80x80
37895;;D1;135x200,80x80
95046;;D1;135x200,80x80-D
91249;;D1;135x200,80x80-D
83063;;D1;135x200,80x80-D
52626;;D1;135x200,80x80-D
48430;;D1;135x200,80x80-D
47052;;D1;135x200,80x80-D
46689;;D1;135x200,80x80-D
21226;;D1;135x200,80x80-D
20126;;D1;135x200,80x80-D
;;14;14/16
46414;;140;140/150
35775;;DK1;140x200,60x63
143;;DK1;140x200,60x63
141;;DK1;140x200,60x63
139;;DK1;140x200,60x63
206;;DK1;140x200,60x63
205;;DK1;140x200,60x63
203;;DK1;140x200,60x63
21226;;DK1;140x200,60x63
15095;;DK1;140x200,60x63
15184;;DK1;140x200,60x63
15291;;DK1;140x200,60x63
11099;;DK1;140x200,60x63
11152;;DK1;140x200,60x63
11456;;DK1;140x200,60x63
13229;;DK1;140x200,60x63
13110;;DK1;140x200,60x63
11276;;DK1;140x200,60x63
11728;;DK1;140x200,60x63
11605;;DK1;140x200,60x63
12695;;DK1;140x200,60x63
12827;;DK1;140x200,60x63
10955;;DK1;140x200,60x63
37886;;DK1;140x200,60x63
37895;;DK1;140x200,60x63
95046;;DK1;140x200,60x63-DK
91249;;DK1;140x200,60x63-DK
83063;;DK1;140x200,60x63-DK
52626;;DK1;140x200,60x63-DK
48430;;DK1;140x200,60x63-DK
47052;;DK1;140x200,60x63-DK
46689;;DK1;140x200,60x63-DK
21226;;DK1;140x200,60x63-DK
20126;;DK1;140x200,60x63-DK
;;2;140x200x40
35775;;DK2;140x220,60x63
143;;DK2;140x220,60x63
141;;DK2;140x220,60x63
139;;DK2;140x220,60x63
206;;DK2;140x220,60x63
